Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-03 10:55:57,2023-11-03 10:56:46,48.141s,FAILED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 10:55:58,2023-11-03 10:56:28,30.336s,PASSED
"comment(""Register Success"")",,,,2023-11-03 10:55:59,2023-11-03 10:55:59,0.147s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 10:55:59,2023-11-03 10:55:59,0.356s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 10:55:59,2023-11-03 10:56:15,15.370s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 10:56:15,2023-11-03 10:56:16,0.987s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 10:56:16,2023-11-03 10:56:18,2.321s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-03 10:56:18,2023-11-03 10:56:20,1.582s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-03 10:56:20,2023-11-03 10:56:21,1.648s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-03 10:56:21,2023-11-03 10:56:23,1.645s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-03 10:56:23,2023-11-03 10:56:25,1.599s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-03 10:56:25,2023-11-03 10:56:26,1.140s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-03 10:56:26,2023-11-03 10:56:27,1.618s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-03 10:56:27,2023-11-03 10:56:28,0.628s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-03 10:56:28,2023-11-03 10:56:28,0.515s,PASSED
,,,,,,,
Test Cases/TC02_Register Failed,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 10:56:28,2023-11-03 10:56:46,17.204s,FAILED
"comment(""Register Success"")",,,,2023-11-03 10:56:29,2023-11-03 10:56:29,0.003s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 10:56:29,2023-11-03 10:56:29,0.001s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 10:56:29,2023-11-03 10:56:35,6.138s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 10:56:35,2023-11-03 10:56:35,0.305s,PASSED
"setText(findTestObject(""Object Repository/Name Failed - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 10:56:35,2023-11-03 10:56:46,10.502s,FAILED
