Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-03 17:14:24,2023-11-03 17:14:55,30.304s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-03 17:14:25,2023-11-03 17:14:55,29.848s,PASSED
"comment(""Register Success"")",,,,2023-11-03 17:14:25,2023-11-03 17:14:25,0.074s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-03 17:14:25,2023-11-03 17:14:26,0.223s,PASSED
"startApplication(appPath, false)",,,,2023-11-03 17:14:26,2023-11-03 17:14:38,12.332s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-03 17:14:38,2023-11-03 17:14:39,0.781s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-03 17:14:39,2023-11-03 17:14:40,1.452s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-03 17:14:40,2023-11-03 17:14:42,1.605s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-03 17:14:42,2023-11-03 17:14:44,2.271s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-03 17:14:44,2023-11-03 17:14:45,1.293s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-03 17:14:45,2023-11-03 17:14:47,1.407s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-03 17:14:47,2023-11-03 17:14:48,1.727s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-03 17:14:48,2023-11-03 17:14:50,1.810s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-03 17:14:50,2023-11-03 17:14:51,0.777s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-03 17:14:51,2023-11-03 17:14:52,0.688s,PASSED
delay(3),,,,2023-11-03 17:14:52,2023-11-03 17:14:55,3.027s,PASSED
