Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 2,,,,2023-11-24 14:52:10,2023-11-24 14:53:40,1m - 30.143s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 2,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-24 14:52:10,2023-11-24 14:53:40,1m - 29.955s,PASSED
"visiumFarmHub = ""https://farmdemo.visiumlabs.com/wd/hub""",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.002s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.015s,PASSED
"capabilities.setCapability(""deviceName"", ""9321f298"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.003s,PASSED
"capabilities.setCapability(""automationName"", ""uiautomator2"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.001s,PASSED
"capabilities.setCapability(""platformVersion"", ""8.1.0"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.001s,PASSED
"capabilities.setCapability(""platformName"", ""ANDROID"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.001s,PASSED
"capabilities.setCapability(""udid"", ""9321f298"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.002s,PASSED
"capabilities.setCapability(""vf:accessKey"", ""brian:54121be2-680f-4acc-b2fd-13228ce956f6"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.001s,PASSED
"capabilities.setCapability(""vf:appId"", ""3309883"")",,,,2023-11-24 14:52:10,2023-11-24 14:52:10,0.001s,PASSED
"createMobileDriver(ANDROID_DRIVER, capabilities, new java.net.URL(visiumFarmHub))",,,,2023-11-24 14:52:10,2023-11-24 14:52:31,21.127s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-24 14:52:31,2023-11-24 14:52:39,8.066s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-24 14:52:39,2023-11-24 14:52:47,7.393s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-24 14:52:47,2023-11-24 14:52:53,6.418s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-24 14:52:53,2023-11-24 14:53:00,6.887s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-24 14:53:00,2023-11-24 14:53:07,7.042s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-24 14:53:07,2023-11-24 14:53:13,5.832s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-24 14:53:13,2023-11-24 14:53:20,7.415s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-24 14:53:20,2023-11-24 14:53:26,5.646s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-24 14:53:26,2023-11-24 14:53:32,5.890s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-24 14:53:32,2023-11-24 14:53:37,4.909s,PASSED
delay(3),,,,2023-11-24 14:53:37,2023-11-24 14:53:40,3.019s,PASSED
